"rep.sent","dem.sent","trump.sent","rep.ntweets","dem.ntweets","trump.ntweets","dollar","dow.jones","covid.cases","Fecha"
0.22061752163539,0.187126529157611,-0.0779216122455692,257,258,7,0.91844232182219,23537.68,25802,2020-04-16
0.209773945086579,0.194440987023836,-0.0591247218275704,229,277,15,0.920810313075506,24242.49,28711,2020-04-17
0.238825889818842,0.180611647833248,0.0898514220921927,110,130,71,0.919624793084421,23594.06,32549,2020-04-18
0.170073834652414,0.222538750078875,0.115282488774059,68,113,34,0.921786422086003,23630.685,30023,2020-04-19
0.19608896606368,0.166463678348188,0.223564479642035,263,217,10,0.920810313075506,23650.44,28252,2020-04-20
0.178751746338362,0.186295859569388,0.0806853445505107,237,259,35,0.922764602749838,23018.88,27668,2020-04-21
0.182924600815092,0.202680113808361,0.174051095518979,296,287,22,0.920217171252416,23475.82,25634,2020-04-22
0.159831253378323,0.167614581576823,0.25252648343802,251,326,33,0.928332714444857,23515.26,24019,2020-04-23
0.214843699309305,0.177532783530787,0.204509785746401,269,283,28,0.925925925925926,23775.27,29127,2020-04-24
0.191698832966426,0.18408515294354,0.113029431054819,69,110,27,0.924898261191269,23824.52,30719,2020-04-25
0.219384175619888,0.120114969612464,0.0448239258340077,30,76,11,0.922636896249481,23938.41,38509,2020-04-26
0.21942273836666,0.183967279717913,-0.0506465905944017,214,213,38,0.921489126428308,24133.78,32417,2020-04-27
0.163865687348169,0.19949946638435,0.0818679393860249,250,271,22,0.919371150133309,24101.55,29218,2020-04-28
0.210259805029245,0.220226564714294,0.166367307921249,243,236,21,0.922339051835455,24633.86,22541,2020-04-29
0.199824378451341,0.181816293619668,-0.0374140776500668,222,273,63,0.919455682236116,24345.72,20517,2020-04-30
0.230169385646863,0.180555996251112,-0.00215695274915587,246,258,38,0.922339051835455,23723.69,31379,2020-05-01
0.232290644157173,0.198922912843594,0.0281746625534366,66,104,40,0.916674305619213,24047.74,31774,2020-05-02
0.29794190299064,0.222480198161305,0.165158492037423,44,79,30,0.922253988748501,23803.39,26753,2020-05-03
0.204280011876475,0.190760293084527,0.11944468257811,170,198,11,0.913909705721075,23749.76,31839,2020-05-04
0.246206645420809,0.213228559752198,0.140072182578599,179,216,32,0.922253988748501,23883.09,29266,2020-05-05
0.300405181609714,0.230788995846771,0.146523293339797,194,235,13,0.925326177477561,23664.64,16200,2020-05-06
0.205621093908405,0.226484384980524,0.118531746539858,195,225,10,0.92738569971251,23875.89,22267,2020-05-07
0.238627248539754,0.209218331363891,0.0757103490038351,155,238,12,0.922253988748501,24331.32,22119,2020-05-08
0.278516278238243,0.235912647540897,0.210391627627391,46,106,22,0.925625954551766,24048.94,30204,2020-05-09
0.449329599126948,0.328722069809359,-0.0891157138151544,41,59,109,0.921616515367955,24048.05,25870,2020-05-10
0.217979599442751,0.166857256632447,-0.0572453809595782,151,219,54,0.923872875092387,24221.99,26642,2020-05-11
0.274713328386563,0.225345916358767,-0.00277330619975703,156,211,53,0.920979922637686,23764.78,23767,2020-05-12
0.251424178487547,0.166573581955453,-0.025381646221558,153,239,26,0.919540229885058,23247.97,18044,2020-05-13
0.241838762204649,0.213666302340773,0.202078509595355,169,220,27,0.926612305411416,23625.34,21424,2020-05-14
0.287718025530871,0.205092324998236,0.112314265999672,159,250,40,0.926097425449157,23685.42,20840,2020-05-15
0.354764855022357,0.199854417727811,0.00498530199129743,55,99,61,0.924898261191269,24111.355,27090,2020-05-16
0.258942831829197,0.209831936457881,0.0601298341878955,26,100,30,0.919624793084421,23946.14,22813,2020-05-17
